art;brand;price;name;value
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Высота предмета;42 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Глубина предмета;14 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Ширина предмета;28 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Длина упаковки;50 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Высота упаковки;5 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Высота предмета;42 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Глубина предмета;14 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Ширина предмета;28 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Длина упаковки;50 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Высота упаковки;5 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Ширина упаковки;40 см
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Вид застежки;молния
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Особенности рюкзака;"тканевый для поездки туризма похода; из водоотталкивающей ткани; молодежный вместительный"
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Декоративные элементы;логотип
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Карманы;"Наружный спереди; внутренний на резинке; Большой главный отсек"
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Вместимость рюкзака;16 л
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Вес товара без упаковки (г);320 г
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Материал подкладки;полиэстер
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Страна производства;Россия
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Количество лямок;2 мягкие лямки
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Пол;Женский
6596809;ZAIN! Рюкзак женский школьный спортивный для ноутбука;1 877 ₽;Количество отделений;2 шт.
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Глубина предмета;13 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Высота предмета;45 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Ширина предмета;30 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Длина упаковки;5 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Высота упаковки;45 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Глубина предмета;13 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Высота предмета;45 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Ширина предмета;30 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Длина упаковки;5 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Высота упаковки;45 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Ширина упаковки;41 см
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Количество отделений;2 шт.
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Количество лямок;2
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Размер рюкзака;18л
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Особенности рюкзака;"подростковый; Мужская сумка кросс боди через плечо; тканевый"
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Вес товара без упаковки (г);450 г
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Карманы;"Наружный спереди; для ноутбука"
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Материал подкладки;"полиэстер; тканевый"
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Вместимость рюкзака;18 л
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Декоративные элементы;подарок мужчине девушке подростку ребенку
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Страна производства;Китай
18485404;arfei рюкзак женский мужской школьный детский;2 700 ₽;Вид застежки;молния
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Размер рюкзака;Средний
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Количество лямок;"2; 2 анатомические вентилируемые лямки"
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Вместимость рюкзака;13 л
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Вид застежки;молния
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Карманы;"Наружный спереди; Для мобильного телефона; Наружный боковой - 2 шт"
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Размер рюкзака;Средний
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Количество лямок;"2; 2 анатомические вентилируемые лямки"
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Вместимость рюкзака;13 л
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Вид застежки;молния
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Карманы;"Наружный спереди; Для мобильного телефона; Наружный боковой - 2 шт"
17670845;Bener Рюкзак Школьный Спортивный с Отделением для Ноутбука;816 ₽;Материал подкладки;полиэстер
