art;Высота предмета;Глубина предмета;Ширина предмета;Длина упаковки;Высота упаковки;Ширина упаковки;Вид застежки;Особенности рюкзака;Декоративные элементы;Карманы;Вместимость рюкзака;Вес товара без упаковки (г);Материал подкладки;Страна производства;Количество лямок;Пол;Количество отделений;Размер рюкзака;Коллекция;Назначение рюкзака;Спортивное назначение;Рисунок;Комплектация
6596809;42 см;14 см;28 см;50 см;5 см;40 см;молния;"тканевый для поездки туризма похода; из водоотталкивающей ткани; молодежный вместительный";логотип;"Наружный спереди; внутренний на резинке; Большой главный отсек";16 л;320 г;полиэстер;Россия;2 мягкие лямки;Женский;2 шт.;;;;;;
18485404;45 см;13 см;30 см;5 см;45 см;41 см;молния;"подростковый; Мужская сумка кросс боди через плечо; тканевый";подарок мужчине девушке подростку ребенку;"Наружный спереди; для ноутбука";18 л;450 г;"полиэстер; тканевый";Китай;2;;2 шт.;18л;;;;;
17670845;40 см;11 см;30 см;45 см;7 см;45 см;молния;"облегченная модель; регулируемые ремни";без элементов;"Наружный спереди; Для мобильного телефона; Наружный боковой - 2 шт";13 л;400 г;полиэстер;Россия;"2; 2 анатомические вентилируемые лямки";;2 шт.;Средний;;;;;
170430434;44 см;12 см;32 см;32 см;44 см;5 см;молния;"USB-порт; влагозащитный; анатомическая спинка";Универсальный подарок на 14 февраля, 23 февраля, 8 марта, новый год, рождество, день рождение;"Наружный спереди; Внутренний для ноутбука/планшета; Внутренний открытый";;615 г;полиэстер;Китай;2;Мужской;2 шт.;15-20 литров (средний);;;;;
171038094;40 см;15 см;32 см;3 см;40 см;36 см;"молния; кнопки на переднем кармане";;В ПОДАРОК: Значки и брелок Мишка;"Внутренний для ноутбука/планшета; Два наружным кармана спереди и два по бокам; Внутренний основной для учебников";18 л;620 г;;;2;Девочки;;"15-20 литров; 15-20 литров (средний)";;;;;
155943217;40 см;40 см;30 см;35 см;45 см;5 см;"молния; липучка";"влагоустойчивый; ультралегкая модель; подростковый, для девочек подростков, мягкая спинка";значки, игрушки;"один большой отдел с дополнительным отсеком; наружные и боковые карманы; Наружный сзади";15 л;;полиэстер;Китай;2;Девочки;2 шт.;"15-20 литров, стандартный; вместительный";;;;;
164012457;45 см;7 см;13 см;30 см;45 см;13 см;молния;облегченная модель;логотип;"Внутренний открытый; Наружный боковой";22 л;400 г;полиэстер;Россия;2;Мужской;4 шт.;Средний;;;;;
147324484;40 см;11 см;30 см;11 см;40 см;30 см;"внутренний клапан - липучка; молния";"Ортопедический; влагоустойчивый; встроенный USB порт";логотип;"Внутренний для ноутбука; Наружный спереди; Отделение для ручек и аксессуаров";14 л;660 г;полиэстер;Китай;2 шт;Женский;1 шт.;"до 15 литров (маленький); 15-20 литров (средний)";;;;;
147526479;42 см;13 см;28 см;32 см;46 см;4 см;молния;"воздухопроницаемый; отделение для ноутбука; потайное отделение";Рюкзак городской;1 внутренний для ноутбука/планшета, 4 наружных (2 боковых, 1 задний, 1 передний);15 л;300 г;полиэстер;Китай;2 шт;Мужской;2 шт.;"Средний; большой";;;;;
147338899;43 см;10 см;38 см;10 см;45 см;40 см;молния;"Ортопедический; влагоустойчивый; ультралегкая модель";логотип;"Внутренний для ноутбука/планшета; Наружный боковой 2 шт; Наружный сзади";20 л;300 г;полиэстер 100%;Китай;2 шт регулируемые;Мужской;2 шт.;"более 20 литров (большой); 15-20 литров (средний)";;;;;
